address,attributes,business_id,categories,city,hours,is_open,name,neighborhood,postal_code,review_count,stars,state,BusinessAcceptsCreditCards,BikeParking,RestaurantsDelivery,RestaurantsTakeOut,OutdoorSeating,parking_garge,parking_street,parking_validated,parking_lot,parking_valet
10600 Perry Hwy,"[""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True']",HXBBI_M10pAtSVATIVATYQ,"['Restaurants', 'Cafes', 'Bakeries', 'Food']",Wexford,"['Monday 7:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 7:0-18:30']",1,Loafers Bread,,15090.0,17,4.5,PA,1,1,0,1,0,0,0,0,1,0
707 Grant St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True']",mNMVqHsgJq6YErFPfaUlig,"['Sandwiches', 'Bakeries', 'Restaurants', 'Food']",Pittsburgh,,1,Au Bon Pain,Downtown,15219.0,3,4.0,PA,1,0,0,1,0,0,0,0,0,0
1717 Cochran Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",1qxmO1zpYegBxV8XDLE8ZA,"['Food', 'Bakeries', 'Grocery']",Pittsburgh,,1,Giant Eagle,,15220.0,10,3.5,PA,1,1,0,0,0,0,0,0,1,0
2612 E Carson St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', 'Caters: True', 'GoodForKids: True', 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: free', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}""]",6WU_JVpPPnbAfBvMcRoPuw,"['Restaurants', 'Food', 'Bakeries', 'Desserts', 'Cafes', 'CSA']",Pittsburgh,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-21:0', 'Saturday 7:0-21:0', 'Sunday 8:0-17:0']",1,Bartram House Bakery & Cafe,South Side,15203.0,57,3.5,PA,1,1,0,1,1,0,1,0,0,0
808 Main St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",7laMR-BRYEqBv8oWexxkKw,"['Bakeries', 'Food']",Pittsburgh,"['Monday 6:0-19:0', 'Tuesday 6:0-19:0', 'Wednesday 6:0-19:0', 'Thursday 6:0-19:0', 'Friday 6:0-19:0', 'Saturday 6:0-16:0', 'Sunday 6:0-16:0']",1,Brother Tom's Bakery,Sharpsburg,15215.0,10,3.5,PA,1,1,0,1,0,0,1,0,0,0
301 Grant St Ste 4,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",9toyHY_tXx4eenp8Oxmmsg,"['Bakeries', 'Food']",Pittsburgh,,1,Au Bon Pain,Downtown,15219.0,9,3.0,PA,1,1,1,1,0,1,0,0,0,0
546 Brookline Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",oNObm_C5cPaIerKUKBZ_KA,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 7:0-18:0', 'Sunday 7:0-15:0']",1,DeLuca's Bakery,Brookline,15226.0,5,4.0,PA,1,1,1,1,0,0,0,0,0,0
536 Dewey Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: True', 'GoodForKids: True', 'HasTV: False', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: no']",qWcaGio9JsqrvgmQiIRtIQ,"['Pizza', 'Food', 'Restaurants', 'Bakeries', 'Sandwiches']",Bridgeville,"['Tuesday 9:0-21:0', 'Wednesday 9:0-21:0', 'Thursday 9:0-21:0', 'Friday 9:0-21:0', 'Saturday 9:0-21:0', 'Sunday 9:0-21:0']",1,Country Style Pizza,,15017.0,13,4.5,PA,1,1,1,1,1,0,1,0,0,0
4003 Saltsburg Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2']",Uxjr17Us80sEhKCQxJch8A,"['Event Planning & Services', 'Food', 'Bakeries', 'Caterers']",Murrysville,,1,Jennuine Cakes & Cafe,,15668.0,9,5.0,PA,1,0,0,0,0,0,0,0,0,0
1830 E Carson St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: paid']",qQvHYQ1uocuEnFcUdhxV_g,"['Restaurants', 'American (New)', 'Bakeries', 'Food', 'Fish & Chips', 'Seafood', 'British']",Pittsburgh,"['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-0:0', 'Saturday 9:0-0:0', 'Sunday 9:0-22:0']",1,The Pub Chip Shop,South Side,15203.0,165,4.5,PA,1,1,0,1,0,0,1,0,0,0
330 Pearl St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: no']",5oc3Jva4wWS4O44a-0Jd8Q,"['Bakeries', 'Food', 'Pizza', 'Restaurants']",Pittsburgh,"['Friday 11:0-19:0', 'Saturday 8:0-16:0', 'Sunday 10:0-14:0']",0,Bread and Salt,Bloomfield,15224.0,44,3.5,PA,0,1,0,1,1,0,0,0,0,0
994 Perry Hwy,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 3']",YadN7pDaK36He8mslyy5xw,"['Food', 'Bakeries']",Pittsburgh,"['Tuesday 11:0-17:0', 'Wednesday 11:0-17:0', 'Thursday 11:0-17:0', 'Friday 11:0-17:0', 'Saturday 10:0-14:0']",1,Madison Ave Specialty Cakes,,15237.0,7,4.0,PA,1,0,1,0,0,0,0,0,0,0
2021 Wharton Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",AwopPZrF9trJxZ4yp51xbQ,"['Florists', 'Shopping', 'Drugstores', 'Food', 'Grocery', 'Bakeries', 'Flowers & Gifts']",Pittsburgh,"['Monday 6:0-0:0', 'Tuesday 6:0-0:0', 'Wednesday 6:0-0:0', 'Thursday 6:0-0:0', 'Friday 6:0-0:0', 'Saturday 6:0-0:0', 'Sunday 6:0-0:0']",1,Giant Eagle,South Side,15203.0,15,2.5,PA,1,1,0,1,0,0,0,0,1,0
3800 Forbes Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",NBeX33C2lB6KMqpbSueHjw,"['Soup', 'Restaurants', 'Salad', 'Delis', 'Coffee & Tea', 'Bagels', 'Breakfast & Brunch', 'Bakeries', 'Food', 'Sandwiches']",Pittsburgh,"['Monday 6:0-21:0', 'Tuesday 6:0-21:0', 'Wednesday 6:0-21:0', 'Thursday 6:0-21:0', 'Friday 6:0-21:0', 'Saturday 7:0-21:0', 'Sunday 8:0-20:0']",1,Panera Bread,Oakland,15213.0,36,3.0,PA,1,1,0,1,0,0,1,0,0,0
801 Parkway View Dr,"['BusinessAcceptsCreditCards: True', 'RestaurantsDelivery: True', 'RestaurantsTakeOut: True', 'BikeParking: False', 'RestaurantsPriceRange2: 2', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""]",ZVWSOxlmz1yJfbZaJwYOug,"['Food', 'Bakeries']",Pittsburgh,,1,Mediterra Bakehouse,,15205.0,5,4.0,PA,1,0,1,1,0,0,0,0,0,0
440 Market St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1']",nEM2L6X1lp0H44DwTTLy0Q,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-16:0', 'Tuesday 7:0-16:0', 'Wednesday 7:0-16:0', 'Thursday 7:0-16:0', 'Friday 7:0-16:0', 'Saturday 8:0-15:0']",1,Mancini's Bakery,Downtown,15222.0,10,4.0,PA,1,1,0,0,0,0,1,0,0,0
10610 Perry Hwy,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WiFi: no']",CWsY4g6LBkJOLdEvHfzRAQ,"['Food', 'Ice Cream & Frozen Yogurt', 'Candy Stores', 'Specialty Food', 'Bakeries', 'Desserts']",Wexford,"['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-23:0']",1,Graeter's Ice Cream,,15090.0,12,4.5,PA,1,1,0,1,0,0,0,0,0,0
927 5th Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",BKmKEdTZOdrOA0yHPcvjHw,"['Food', 'Bakeries', 'Desserts']",McKeesport,"['Tuesday 7:0-16:30', 'Wednesday 7:0-16:30', 'Thursday 7:0-16:30', 'Friday 7:0-16:30', 'Saturday 7:0-15:30']",1,Minerva Bakery,,15132.0,18,4.5,PA,1,1,0,1,0,0,1,0,0,0
4763 Liberty Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",KR89_v-jKxf4_l8h8k4jyQ,"['Food', 'Bakeries']",Pittsburgh,"['Monday 6:0-17:0', 'Tuesday 6:0-17:0', 'Wednesday 6:0-17:0', 'Thursday 6:0-18:0', 'Friday 6:0-18:0', 'Saturday 6:0-17:0']",1,Paddy Cake Bakery,Bloomfield,15224.0,28,3.5,PA,1,1,0,1,0,0,1,0,0,0
3360 Library Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",vIHEp4EbzDs8CtA-Tf3Mkg,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-17:0', 'Tuesday 7:0-17:0', 'Wednesday 7:0-17:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 9:0-17:0']",1,Signature Desserts,,15234.0,22,4.0,PA,1,1,0,1,0,0,0,0,1,0
4120 Washington Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",ZR_UyVncA3R3pQu79MGr_A,"['Bakeries', 'Desserts', 'Patisserie/Cake Shop', 'Food']",McMurray,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-22:0', 'Saturday 7:0-22:0', 'Sunday 8:0-16:0']",1,Bartram House Bakery,,15317.0,33,3.5,PA,1,0,0,1,0,0,0,0,1,0
"Pittsbugh International Airport, 1000 Airport Blvd, Terminal A","['Alcohol: none', 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WiFi: no']",gotiJdTgbun2_1_rz6IZnw,"['Coffee & Tea', 'Food', 'Bakeries']",Pittsburgh,,1,Green Beans Coffee,,,13,3.0,PA,1,0,0,1,0,0,0,0,0,0
123 University Pl,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WiFi: no']",P-GvrPIVAZNPeKsnoC8cuQ,"['Food', 'Bakeries', 'Coffee & Tea']",Pittsburgh,,1,Brioche Doree,Oakland,15213.0,9,4.0,PA,1,1,0,1,1,0,0,0,0,0
4731 Juniper St,['RestaurantsPriceRange2: 1'],zuCu5ff06l4Pe33qYe58MA,"['Bakeries', 'Food']",Pittsburgh,,1,Sanchioli Bakery,Bloomfield,15224.0,3,4.5,PA,0,0,0,0,0,0,0,0,0,0
531 Allegheny Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",-igpUhnA1b5iUK6rfAtuPw,"['Food', 'Bakeries']",Oakmont,"['Monday 6:0-19:0', 'Tuesday 6:0-19:0', 'Wednesday 6:0-19:0', 'Thursday 6:0-19:0', 'Friday 6:0-19:0', 'Saturday 6:0-19:0', 'Sunday 6:0-15:0']",1,Oakmont Bakery,,15139.0,168,4.5,PA,1,1,0,1,0,0,1,0,1,0
1707 Murray Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",i6x-Wf2uvx4YydJpPmaXmg,"['Bakeries', 'Food', 'Desserts']",Pittsburgh,,0,Dozen Cupcakes,Squirrel Hill,15289.0,45,3.5,PA,1,0,0,0,0,0,1,0,0,0
"100 Robinson Center Dr, Robinson Town Center Mall","['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",-WgUeWBmBR6l_6RFEPzzaw,"['Desserts', 'Bakeries', 'Food']",Pittsburgh,,1,Auntie Anne's,,15202.0,3,3.5,PA,1,0,0,0,0,0,0,0,0,0
3780 William Penn Hwy,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsTakeOut: True', 'WiFi: free', 'BikeParking: False', 'RestaurantsPriceRange2: 2']",qcg6At092j5Y5uK1TWsT6w,"['Coffee & Tea', 'Food', 'Bakeries']",Murrysville,"['Monday 6:0-22:0', 'Tuesday 6:0-22:0', 'Wednesday 6:0-22:0', 'Thursday 6:0-22:0', 'Friday 6:0-22:0', 'Saturday 7:0-22:0', 'Sunday 7:0-22:0']",1,Starbucks,,15668.0,12,2.5,PA,1,0,0,1,1,0,0,0,0,0
3925 5th Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",EzcrB9DhKtezASq7fZ6ZyA,"['Bakeries', 'Food', 'Convenience Stores', 'Restaurants', 'Gluten-Free']",Pittsburgh,"['Monday 7:30-17:0', 'Tuesday 7:30-17:0', 'Wednesday 7:30-17:0', 'Thursday 7:30-17:0', 'Friday 7:30-15:30', 'Saturday 7:30-15:0', 'Sunday 7:30-15:0']",1,Oakland Bakery and Market,Oakland,15213.0,3,3.5,PA,1,1,0,1,0,1,1,0,0,0
1719 Murray Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",YVlNo_aIX0CNp4R7ZAKbFg,"['Sandwiches', 'Food', 'Restaurants', 'Bagels', 'Breakfast & Brunch', 'Bakeries']",Pittsburgh,"['Monday 5:30-17:0', 'Tuesday 5:30-17:0', 'Wednesday 5:30-17:0', 'Thursday 5:30-17:0', 'Friday 5:30-17:0', 'Saturday 6:0-16:0', 'Sunday 6:0-16:0']",1,Bruegger's Bagels,Squirrel Hill,15217.0,15,2.5,PA,1,1,0,1,0,0,0,0,0,0
1356 Hoffman Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2']",5-RN8e3qsBfYSFh08nqvbQ,"['Bakeries', 'Food', 'Grocery']",West Mifflin,"['Monday 6:0-0:0', 'Tuesday 6:0-0:0', 'Wednesday 6:0-0:0', 'Thursday 6:0-0:0', 'Friday 6:0-0:0', 'Saturday 6:0-0:0', 'Sunday 6:0-0:0']",1,Giant Eagle,,15122.0,4,2.5,PA,1,1,0,0,0,0,0,0,0,0
297 Beverly Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",F8SewtxenrhWAUEUC8ts4w,"['Food', 'Bakeries']",Pittsburgh,,1,Party Cake Shop,,15216.0,8,4.0,PA,1,1,0,1,0,0,0,0,0,0
4007 Washington Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2']",A5yVFUy0FxwJwVup93tXZA,"['Grocery', 'Bakeries', 'Flowers & Gifts', 'Books', 'Mags', 'Music & Video', 'Photography Stores & Services', 'Florists', 'Videos & Video Game Rental', 'Food', 'Shopping']",McMurray,"['Monday 0:0-0:0', 'Tuesday 0:0-0:0', 'Wednesday 0:0-0:0', 'Thursday 0:0-0:0', 'Friday 0:0-0:0', 'Saturday 0:0-0:0', 'Sunday 0:0-0:0']",1,Giant Eagle,,15317.0,3,2.5,PA,1,0,0,0,0,0,0,0,0,0
2101 Greentree Rd,"[""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTableService: True', 'WiFi: no']",xA6L2w_TlbxHubb1xeBE8w,"['Bakeries', 'Restaurants', 'Pakistani', 'Food', 'Indian']",Pittsburgh,"['Tuesday 11:30-14:30', 'Tuesday 17:0-22:0', 'Wednesday 11:30-14:30', 'Wednesday 17:0-22:0', 'Thursday 11:30-14:30', 'Thursday 17:0-22:0', 'Friday 11:30-14:30', 'Friday 17:0-22:0', 'Saturday 12:0-15:0', 'Saturday 17:0-22:0', 'Sunday 12:0-15:0', 'Sunday 17:0-22:0']",1,Tamarind Savoring India,,15220.0,107,4.0,PA,1,1,0,0,0,0,0,0,1,0
"1775 N Highland Rd, Ste 8","['Alcohol: none', 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly: False', 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",T8_NXVNymIRXsI7AcWgBcQ,"['Food', 'Bakeries']",Pittsburgh,"['Monday 9:30-19:0', 'Tuesday 9:30-19:0', 'Wednesday 9:30-19:0', 'Thursday 9:30-19:0', 'Friday 9:30-19:0', 'Saturday 7:0-19:0', 'Sunday 9:0-16:0']",1,The Pie Place,,15241.0,14,4.5,PA,1,0,1,1,0,0,0,0,0,0
"Donaldson's Crossroads Shopping Ctr, 3909 Washington Rd, Ste 250","['Alcohol: none', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed: False', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",WXXHPnQ5ADn3mSbFmASHug,"['Food', 'Bakeries', 'American (New)', 'Restaurants', 'Breakfast & Brunch']",McMurray,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-21:0', 'Saturday 7:0-21:0', 'Sunday 9:0-15:0']",0,Dozen Bake Shop & Bistro,,15317.0,14,3.5,PA,1,0,1,1,0,0,0,0,1,0
